city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Alexander,Alexander,AR,Arkansas,5125,Saline,34.6185,-92.4512
Welcome,Welcome,NC,North Carolina,37057,Davidson,35.9066,-80.2548
Naranjito,Naranjito,PR,Puerto Rico,72105,Naranjito,18.3029,-66.2498
Eagle Lake,Eagle Lake,TX,Texas,48089,Colorado,29.5879,-96.3282
Wallace,Wallace,NC,North Carolina,37061,Duplin,34.738,-77.9908
Yuma,Yuma,CO,Colorado,8125,Yuma,40.1235,-102.7161
Grand Mound,Grand Mound,WA,Washington,53067,Thurston,46.8018,-123.0118
Avalon,Avalon,CA,California,6037,Los Angeles,33.3342,-118.3315
Port Ewen,Port Ewen,NY,New York,36111,Ulster,41.9042,-73.9778
Newcomerstown,Newcomerstown,OH,Ohio,39157,Tuscarawas,40.2762,-81.5949
Heflin,Heflin,AL,Alabama,1029,Cleburne,33.647,-85.5698
Moreland Hills,Moreland Hills,OH,Ohio,39035,Cuyahoga,41.4422,-81.4293
Princess Anne,Princess Anne,MD,Maryland,24039,Somerset,38.2054,-75.697
Melwood,Melwood,MD,Maryland,24033,Prince George's,38.8024,-76.8419
Maple Heights-Lake Desire,Maple Heights-Lake Desire,WA,Washington,53033,King,47.4441,-122.0972
Loyalhanna,Loyalhanna,PA,Pennsylvania,42129,Westmoreland,40.3144,-79.356
Elma Center,Elma Center,NY,New York,36029,Erie,42.8282,-78.6342
Auburn,Auburn,NE,Nebraska,31127,Nemaha,40.3894,-95.8436
Alma,Alma,GA,Georgia,13005,Bacon,31.5432,-82.4745
Germantown Hills,Germantown Hills,IL,Illinois,17203,Woodford,40.7711,-89.4669
South Alamo,South Alamo,TX,Texas,48215,Hidalgo,26.1517,-98.1079
Orange,Orange,OH,Ohio,39035,Cuyahoga,41.4414,-81.4743
Winnsboro,Winnsboro,TX,Texas,48499,Wood,32.9557,-95.2909
Hubbard,Hubbard,OR,Oregon,41047,Marion,45.1819,-122.8072
Dunean,Dunean,SC,South Carolina,45045,Greenville,34.8203,-82.4225
Lake of the Woods,Lake of the Woods,AZ,Arizona,4017,Navajo,34.1547,-109.9936
Elma,Elma,WA,Washington,53027,Grays Harbor,47.0055,-123.4112
Redwood,Redwood,TX,Texas,48187,Guadalupe,29.81,-97.9103
Wyncote,Wyncote,PA,Pennsylvania,42091,Montgomery,40.0915,-75.1463
Marin City,Marin City,CA,California,6041,Marin,37.871,-122.5137
St. Johns,St. Johns,AZ,Arizona,4001,Apache,34.5018,-109.3784
Upper Greenwood Lake,Upper Greenwood Lake,NJ,New Jersey,34031,Passaic,41.1856,-74.3787
Ringgold,Ringgold,GA,Georgia,13047,Catoosa,34.9136,-85.1215
Dalzell,Dalzell,SC,South Carolina,45085,Sumter,34.0189,-80.4297
Madison,Madison,OH,Ohio,39085,Lake,41.7722,-81.0529
Central Park,Central Park,WA,Washington,53027,Grays Harbor,46.9705,-123.7018
Del Monte Forest,Del Monte Forest,CA,California,6053,Monterey,36.5854,-121.9434
Summersville,Summersville,WV,West Virginia,54067,Nicholas,38.2864,-80.8409
Jewett City,Jewett City,CT,Connecticut,9180,Southeastern Connecticut,41.607,-71.9806
North Wales,North Wales,PA,Pennsylvania,42091,Montgomery,40.2111,-75.2745
Gray,Gray,GA,Georgia,13169,Jones,33.0021,-83.5374
Peshtigo,Peshtigo,WI,Wisconsin,55075,Marinette,45.056,-87.7471
Marysville,Marysville,KS,Kansas,20117,Marshall,39.8432,-96.6387
Etna,Etna,PA,Pennsylvania,42003,Allegheny,40.4975,-79.9475
Mount Angel,Mount Angel,OR,Oregon,41047,Marion,45.0695,-122.7972
Tomahawk,Tomahawk,WI,Wisconsin,55069,Lincoln,45.4746,-89.7228
Roland,Roland,OK,Oklahoma,40135,Sequoyah,35.4147,-94.5137
Teague,Teague,TX,Texas,48161,Freestone,31.6296,-96.2802
South Duxbury,South Duxbury,MA,Massachusetts,25023,Plymouth,42.0203,-70.6913
Meadowbrook,Meadowbrook,CA,California,6065,Riverside,33.7253,-117.2851
Pottsgrove,Pottsgrove,PA,Pennsylvania,42091,Montgomery,40.2644,-75.6093
Sherwood,Sherwood,OH,Ohio,39061,Hamilton,39.0853,-84.3608
Tashua,Tashua,CT,Connecticut,9120,Greater Bridgeport,41.2761,-73.2536
Clearwater,Clearwater,SC,South Carolina,45003,Aiken,33.5038,-81.91
West Menlo Park,West Menlo Park,CA,California,6081,San Mateo,37.4339,-122.2034
Montura,Montura,FL,Florida,12051,Hendry,26.6428,-81.0937
Carthage,Carthage,NY,New York,36045,Jefferson,43.9837,-75.6021
Abingdon,Abingdon,IL,Illinois,17095,Knox,40.8038,-90.4009
Crystal River,Crystal River,FL,Florida,12017,Citrus,28.8964,-82.5991
Yountville,Yountville,CA,California,6055,Napa,38.3963,-122.3671
Dublin,Dublin,TX,Texas,48143,Erath,32.0875,-98.3392
Palo Cedro,Palo Cedro,CA,California,6089,Shasta,40.5658,-122.2425
West Point,West Point,VA,Virginia,51101,King William,37.5519,-76.8017
